"TIME","SEX","AGE","GEO","UNIT","ICD10","Value","Flag and Footnotes"
"2011","Total","Total","European Union - 28 countries (2013-2020)","Rate","Dementia","26.45","d"
"2011","Total","Total","Belgium","Rate","Dementia","31.96",""
"2011","Total","Total","Bulgaria","Rate","Dementia","0.16",""
"2011","Total","Total","Czechia","Rate","Dementia","10.89",""
"2011","Total","Total","Denmark","Rate","Dementia","49.17",""
"2011","Total","Total","Germany (until 1990 former territory of the FRG)","Rate","Dementia","27.27",""
"2011","Total","Total","Estonia","Rate","Dementia","2.63",""
"2011","Total","Total","Ireland","Rate","Dementia","32.19",""
"2011","Total","Total","Greece","Rate","Dementia","0.78",""
"2011","Total","Total","Spain","Rate","Dementia","34.09",""
"2011","Total","Total","France","Rate","Dementia","21.21",""
"2011","Total","Total","Croatia","Rate","Dementia","13.17",""
"2011","Total","Total","Italy","Rate","Dementia","22.56",""
"2011","Total","Total","Cyprus","Rate","Dementia","17.13",""
"2011","Total","Total","Latvia","Rate","Dementia","7.1",""
"2011","Total","Total","Lithuania","Rate","Dementia","1.42",""
"2011","Total","Total","Luxembourg","Rate","Dementia","25.48",""
"2011","Total","Total","Hungary","Rate","Dementia","29.54","d"
"2011","Total","Total","Malta","Rate","Dementia","47.59",""
"2011","Total","Total","Netherlands","Rate","Dementia","58.45",""
"2011","Total","Total","Austria","Rate","Dementia","3.75",""
"2011","Total","Total","Poland","Rate","Dementia","0.3",""
"2011","Total","Total","Portugal","Rate","Dementia","0.01",""
"2011","Total","Total","Romania","Rate","Dementia","0.01",""
"2011","Total","Total","Slovenia","Rate","Dementia","0.05",""
"2011","Total","Total","Slovakia","Rate","Dementia","11.05",""
"2011","Total","Total","Finland","Rate","Dementia","41.17",""
"2011","Total","Total","Sweden","Rate","Dementia","53.43",""
"2011","Total","Total","Iceland","Rate","Dementia","27.18",""
"2011","Total","Total","Liechtenstein","Rate","Dementia","3.01",""
"2011","Total","Total","Norway","Rate","Dementia","41.15",""
"2011","Total","Total","Switzerland","Rate","Dementia","53.9",""
"2011","Total","Total","United Kingdom","Rate","Dementia","61.84","d"
"2011","Total","Total","Serbia","Rate","Dementia","12.58",""
"2011","Total","Total","Turkey","Rate","Dementia","0.7","d"
"2011","Total","Less than 65 years","European Union - 28 countries (2013-2020)","Rate","Dementia","0.21",""
"2011","Total","Less than 65 years","Belgium","Rate","Dementia","0.31",""
"2011","Total","Less than 65 years","Bulgaria","Rate","Dementia","0.02",""
"2011","Total","Less than 65 years","Czechia","Rate","Dementia","0.27",""
"2011","Total","Less than 65 years","Denmark","Rate","Dementia","0.19",""
"2011","Total","Less than 65 years","Germany (until 1990 former territory of the FRG)","Rate","Dementia","0.22",""
"2011","Total","Less than 65 years","Estonia","Rate","Dementia","0.09",""
"2011","Total","Less than 65 years","Ireland","Rate","Dementia","0.53",""
"2011","Total","Less than 65 years","Greece","Rate","Dementia","0.02",""
"2011","Total","Less than 65 years","Spain","Rate","Dementia","0.31",""
"2011","Total","Less than 65 years","France","Rate","Dementia","0.15",""
"2011","Total","Less than 65 years","Croatia","Rate","Dementia","0.08",""
"2011","Total","Less than 65 years","Italy","Rate","Dementia","0.12",""
"2011","Total","Less than 65 years","Cyprus","Rate","Dementia","0",""
"2011","Total","Less than 65 years","Latvia","Rate","Dementia","0.12",""
"2011","Total","Less than 65 years","Lithuania","Rate","Dementia","0",""
"2011","Total","Less than 65 years","Luxembourg","Rate","Dementia","0.26",""
"2011","Total","Less than 65 years","Hungary","Rate","Dementia","0.67",""
"2011","Total","Less than 65 years","Malta","Rate","Dementia","0.28",""
"2011","Total","Less than 65 years","Netherlands","Rate","Dementia","0.22",""
"2011","Total","Less than 65 years","Austria","Rate","Dementia","0.02",""
"2011","Total","Less than 65 years","Poland","Rate","Dementia","0.03",""
"2011","Total","Less than 65 years","Portugal","Rate","Dementia","0",""
"2011","Total","Less than 65 years","Romania","Rate","Dementia","0.01",""
"2011","Total","Less than 65 years","Slovenia","Rate","Dementia","0",""
"2011","Total","Less than 65 years","Slovakia","Rate","Dementia","0.32",""
"2011","Total","Less than 65 years","Finland","Rate","Dementia","0.19",""
"2011","Total","Less than 65 years","Sweden","Rate","Dementia","0.23",""
"2011","Total","Less than 65 years","Iceland","Rate","Dementia","0",""
"2011","Total","Less than 65 years","Liechtenstein","Rate","Dementia","0",""
"2011","Total","Less than 65 years","Norway","Rate","Dementia","0.13",""
"2011","Total","Less than 65 years","Switzerland","Rate","Dementia","0.24",""
"2011","Total","Less than 65 years","United Kingdom","Rate","Dementia","0.53",""
"2011","Total","Less than 65 years","Serbia","Rate","Dementia","0.13",""
"2011","Total","Less than 65 years","Turkey","Rate","Dementia","0.02",""
"2011","Total","65 years or over","European Union - 28 countries (2013-2020)","Rate","Dementia","134.74","d"
"2011","Total","65 years or over","Belgium","Rate","Dementia","162.6",""
"2011","Total","65 years or over","Bulgaria","Rate","Dementia","0.78",""
"2011","Total","65 years or over","Czechia","Rate","Dementia","54.75",""
"2011","Total","65 years or over","Denmark","Rate","Dementia","251.33",""
"2011","Total","65 years or over","Germany (until 1990 former territory of the FRG)","Rate","Dementia","138.96",""
"2011","Total","65 years or over","Estonia","Rate","Dementia","13.11",""
"2011","Total","65 years or over","Ireland","Rate","Dementia","162.88",""
"2011","Total","65 years or over","Greece","Rate","Dementia","3.89",""
"2011","Total","65 years or over","Spain","Rate","Dementia","173.52",""
"2011","Total","65 years or over","France","Rate","Dementia","108.15",""
"2011","Total","65 years or over","Croatia","Rate","Dementia","67.2",""
"2011","Total","65 years or over","Italy","Rate","Dementia","115.21",""
"2011","Total","65 years or over","Cyprus","Rate","Dementia","87.86",""
"2011","Total","65 years or over","Latvia","Rate","Dementia","35.9",""
"2011","Total","65 years or over","Lithuania","Rate","Dementia","7.28",""
"2011","Total","65 years or over","Luxembourg","Rate","Dementia","129.59",""
"2011","Total","65 years or over","Hungary","Rate","Dementia","148.7","d"
"2011","Total","65 years or over","Malta","Rate","Dementia","242.88",""
"2011","Total","65 years or over","Netherlands","Rate","Dementia","298.81",""
"2011","Total","65 years or over","Austria","Rate","Dementia","19.18",""
"2011","Total","65 years or over","Poland","Rate","Dementia","1.4",""
"2011","Total","65 years or over","Portugal","Rate","Dementia","0.05",""
"2011","Total","65 years or over","Romania","Rate","Dementia","0.04",""
"2011","Total","65 years or over","Slovenia","Rate","Dementia","0.28",""
"2011","Total","65 years or over","Slovakia","Rate","Dementia","55.34",""
"2011","Total","65 years or over","Finland","Rate","Dementia","210.34",""
"2011","Total","65 years or over","Sweden","Rate","Dementia","273.02",""
"2011","Total","65 years or over","Iceland","Rate","Dementia","139.36",""
"2011","Total","65 years or over","Liechtenstein","Rate","Dementia","15.43",""
"2011","Total","65 years or over","Norway","Rate","Dementia","210.51",""
"2011","Total","65 years or over","Switzerland","Rate","Dementia","275.42",""
"2011","Total","65 years or over","United Kingdom","Rate","Dementia","314.94","d"
"2011","Total","65 years or over","Serbia","Rate","Dementia","64",""
"2011","Total","65 years or over","Turkey","Rate","Dementia","3.55","d"
"2011","Males","Total","European Union - 28 countries (2013-2020)","Rate","Dementia","24.59","d"
"2011","Males","Total","Belgium","Rate","Dementia","30.73",""
"2011","Males","Total","Bulgaria","Rate","Dementia","0.1",""
"2011","Males","Total","Czechia","Rate","Dementia","11.28",""
"2011","Males","Total","Denmark","Rate","Dementia","46.61",""
"2011","Males","Total","Germany (until 1990 former territory of the FRG)","Rate","Dementia","26.8",""
"2011","Males","Total","Estonia","Rate","Dementia","3.33",""
"2011","Males","Total","Ireland","Rate","Dementia","29.49",""
"2011","Males","Total","Greece","Rate","Dementia","0.6",""
"2011","Males","Total","Spain","Rate","Dementia","32.11",""
"2011","Males","Total","France","Rate","Dementia","22.14",""
"2011","Males","Total","Croatia","Rate","Dementia","12.74",""
"2011","Males","Total","Italy","Rate","Dementia","21.5",""
"2011","Males","Total","Cyprus","Rate","Dementia","16.52",""
"2011","Males","Total","Latvia","Rate","Dementia","6.27",""
"2011","Males","Total","Lithuania","Rate","Dementia","1.34",""
"2011","Males","Total","Luxembourg","Rate","Dementia","26.25",""
"2011","Males","Total","Hungary","Rate","Dementia","30.06","d"
"2011","Males","Total","Malta","Rate","Dementia","45.79",""
"2011","Males","Total","Netherlands","Rate","Dementia","48.55",""
"2011","Males","Total","Austria","Rate","Dementia","3.74",""
"2011","Males","Total","Poland","Rate","Dementia","0.34",""
"2011","Males","Total","Portugal","Rate","Dementia",":",""
"2011","Males","Total","Romania","Rate","Dementia","0.01",""
"2011","Males","Total","Slovenia","Rate","Dementia","0.14",""
"2011","Males","Total","Slovakia","Rate","Dementia","10.98",""
"2011","Males","Total","Finland","Rate","Dementia","39.63",""
"2011","Males","Total","Sweden","Rate","Dementia","48.47",""
"2011","Males","Total","Iceland","Rate","Dementia","26.26",""
